,sentence_id,case_caption,case_date,phrase_id,phrase_stem,sentence,is_ws,is_first_ws
63676,5548d8e7-8305-4ccc-9b58-997f9692114e,"U.S. v. MULDERIG, 120 F.3d 534 (5th Cir. 1997)",1997-08-15,0,defend seek revers basi insuffici evid swim upstream,It is by now well settled that a defendant seeking reversal on the basis of insufficient evidence swims upstream.,True,True
61532,4407fffb-adc4-4a37-b059-149afc202c9a,"BUTZMAN v. UNITED STATES, 205 F.2d 343 (6th Cir. 1953)",1953-06-22,1,right assist counsel waiv,It is well settled that the right to the assistance of counsel can be waived.,True,True
67912,5959a63f-509b-437a-882b-639da294955f,"APPLICATION OF MYERS, 410 F.2d 420 (C.C.P.A. 1969)",1969-05-22,2,must consid state prior art shown refer employ also reflect appel specif,"It is well settled that we must consider the state of the prior art not only as shown in the references employed, but also as reflected in appellant''s specification.",True,True
64013,db909d90-1223-4ba5-86a5-328a0482382f,"RICHARD T. GREEN CO. v. CITY OF CHELSEA, 149 F.2d 927 (1st Cir. 1945)",1945-06-01,3,privat properti land extend low-wat mark,It is well settled in Massachusetts law that private property in land extends only to the low-water mark.,True,True
65563,b1c817d7-2e3b-41cb-aca0-4948ec9f28ac,"WITJAKSONO v. HOLDER, 573 F.3d 968 (10th Cir. 2009)",2009-07-17,5,alien immigr proceed entitl reason complet accur record facilit appel review consid issu,It is well settled that an alien in an immigration proceeding is entitled to a reasonably complete and accurate record to facilitate appellate review; we do not consider that issue further.,True,True
67644,1f7f94ec-565c-4c2c-a226-6fef8686eaf7,"UNITED STATES v. HILL, 77 F.2d 970 (3rd Cir. 1935)",1935-03-28,6,distinct violat law grow transact constitut separ offens,It is well settled that distinct violations of law growing out of the same transaction constitute separate offenses.,True,True
60123,ebe0c2dd-fd29-457b-97a7-aa7e1b57ed1f,"HUMPHREYS GOLD CORPORATION v. LEWIS, 90 F.2d 896 (9th Cir. 1937)",1937-06-07,7,absenc proper except trial court rule motion direct verdict preclud appel court review rule,"It is well settled, in this circuit and elsewhere, that the absence of a proper exception to the trial court''s ruling on a motion for a directed verdict precludes the appellate court from reviewing that ruling.",True,True
51521,03586717-90ca-4090-b3f3-965f148e5635,"U.S. v. RODRIGUEZ, 612 F.3d 1049 (8th Cir. 2010)",2010-07-22,9,defend right meaning relationship appoint counsel,"It is well established that a defendant does not have the right to a """"meaningful relationship"""" with appointed counsel. United States v. Swinney, 970 F.2d 494, 499(8th Cir. 1992).",True,True
61229,9e84a0f9-9fbd-4a2a-8896-edbe611528b3,"N.L.R.B. v. MILK WAGON DRIVERS' UNION, L. 753, 335 F.2d 326 (7th Cir. 1964)",1964-08-03,10,one unlaw object suffici find § 8 b 4 violat although might law object,"It is well settled that one unlawful object is sufficient for a finding that § 8(b)(4) has been violated, although there might be other lawful objects.",True,True
68172,f93ee01c-56f7-4ed2-a666-0bb9d06e6f9a,"COLUMBIA BROADCASTING SYS. v. SYLVANIA E. P., 415 F.2d 719 (1st Cir. 1969)",1969-07-30,11,retrospect creativ develop often appear commonplac,It is well settled that in retrospect the most creative developments often appear commonplace.,True,True
